operator,from_gare_id,from_gare,to_gare_id,to_gare,source_km,osrm_km,delta_km,ratio
APRR,55,ARLAY,947,VOIE SACRÉE,411.96,323.915,-88.045,0.7863
APRR,55,ARLAY,951,Vulaines,286.47,287.159,0.689,1.0024
APRR,55,ARLAY,953,VULCANIA-BROMONT,695.63,371.013,-324.617,0.5333
APRR,58,Artenay,31,Ambérieu,449.21,448.334,-0.876,0.998
APRR,58,Artenay,55,ARLAY,389.72,419.266,29.546,1.0758
APRR,58,Artenay,68,Auxerre nord,147.22,172.517,25.297,1.1718
APRR,58,Artenay,69,Auxerre sud,158.92,159.768,0.848,1.0053
APRR,58,Artenay,72,Avallon,203.02,256.834,53.814,1.2651
APRR,58,Artenay,76,Balan,473.24,463.012,-10.228,0.9784
APRR,58,Artenay,82,BAUME-LES-DAMES,429.72,428.031,-1.689,0.9961
APRR,58,Artenay,95,Beaune nord,294.67,295.681,1.011,1.0034
APRR,58,Artenay,96,BEAUNE SUD,300.42,301.156,0.736,1.0024
APRR,58,Artenay,97,BEAUPONT,433.42,388.64,-44.78,0.8967
APRR,58,Artenay,99,Beaurepaire,405.12,402.98,-2.14,0.9947
APRR,58,Artenay,110,BELLEVILLE S/SAONE,406.12,407.86,1.74,1.0043
APRR,58,Artenay,118,BERSAILLIN,385.13,380.233,-4.897,0.9873
APRR,58,Artenay,119,Besançon est,410.64,408.979,-1.661,0.996
APRR,58,Artenay,120,Besançon nord,396.02,394.309,-1.711,0.9957
APRR,58,Artenay,121,BESANCON OUEST,386.62,385.933,-0.687,0.9982
APRR,58,Artenay,125,BEYNOST,487.4,458.273,-29.127,0.9402
APRR,58,Artenay,130,Bierre-les-Semur,228.92,289.881,60.961,1.2663
APRR,58,Artenay,151,Bourg nord,407.01,408.802,1.792,1.0044
APRR,58,Artenay,152,Bourg sud,427.44,427.927,0.487,1.0011
APRR,58,Artenay,170,BULGNEVILLE,360.47,381.276,20.806,1.0577
APRR,58,Artenay,198,Chalon centre,322.52,323.608,1.088,1.0034
APRR,58,Artenay,199,CHALON NORD,319.64,320.182,0.542,1.0017
APRR,58,Artenay,200,Chalon sud,328.72,329.942,1.222,1.0037
APRR,58,Artenay,221,CHATENOIS,370.62,428.789,58.169,1.157
APRR,58,Artenay,223,CHATILLON-LABORDE,183.84,138.713,-45.127,0.7545
APRR,58,Artenay,227,CHAUMONT-SEMOUTIERS,278.09,279.986,1.896,1.0068
APRR,58,Artenay,235,Choisey,351.83,352.119,0.289,1.0008
APRR,58,Artenay,240,CLERMONT-BARRIERE,321.18,303.05,-18.13,0.9436
APRR,58,Artenay,246,Colombey-les-Belles,399.32,428.001,28.681,1.0718
APRR,58,Artenay,247,Combronde,283.96,307.955,23.995,1.0845
APRR,58,Artenay,255,Courtenay,104.91,139.572,34.662,1.3304
APRR,58,Artenay,269,DIJON SUD,330.32,305.454,-24.866,0.9247
APRR,58,Artenay,265,DIJON-ARC S/TILLE,345.48,314.819,-30.661,0.9113
APRR,58,Artenay,267,Péage de Dijon/Crimolois,377.82,316.34,-61.48,0.8373
APRR,58,Artenay,270,Dôle,354.02,353.396,-0.624,0.9982
APRR,58,Artenay,300,FEILLENS,382.1,382.555,0.455,1.0012
APRR,58,Artenay,303,FLEURY-EN-BIERE,188.86,91.294,-97.566,0.4834
APRR,58,Artenay,305,FONTAINEBLEAU,145.91,103.184,-42.725,0.7072
APRR,58,Artenay,311,FORET DE TRONCAIS,202.35,203.39,1.04,1.0051
APRR,58,Artenay,312,Forges,166.57,139.127,-27.443,0.8352
APRR,58,Artenay,327,GANNAT,281.97,272.698,-9.272,0.9671
APRR,58,Artenay,333,GENDREY,370.6,369.447,-1.153,0.9969
