gare_id,canonical_name,direction,in_anchors,status,toll_roads,toll_m,origin_used,maps_link
595,Nîmes centre,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.803847,4.377450/43.803847,4.377450"
596,Nîmes est,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.855782,4.425405/43.855782,4.425405"
596,Nîmes est,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.855782,4.425405/43.855782,4.425405"
597,Nîmes Garons,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.758752,4.426797/43.758752,4.426797"
597,Nîmes Garons,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.758752,4.426797/43.758752,4.426797"
598,Nîmes ouest,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.810819,4.348460/43.810819,4.348460"
598,Nîmes ouest,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.810819,4.348460/43.810819,4.348460"
599,NIORT EST,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/46.355855,-0.337893/46.355855,-0.337893"
599,NIORT EST,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/46.355855,-0.337893/46.355855,-0.337893"
600,NIORT NORD,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/46.413951,-0.396440/46.413951,-0.396440"
600,NIORT NORD,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/46.413951,-0.396440/46.413951,-0.396440"
601,NIORT OUEST,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/46.391189,-0.655616/46.391189,-0.655616"
601,NIORT OUEST,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/46.391189,-0.655616/46.391189,-0.655616"
602,NITRY,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.659904,3.884572/47.659904,3.884572"
602,NITRY,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.659904,3.884572/47.659904,3.884572"
603,Noirétable,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.853938,3.795042/45.853938,3.795042"
603,Noirétable,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.853938,3.795042/45.853938,3.795042"
604,NUITS-SAINT-GEORGES,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.128202,4.970750/47.128202,4.970750"
604,NUITS-SAINT-GEORGES,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.128202,4.970750/47.128202,4.970750"
605,Nuits-St-Georges,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.128202,4.970750/47.128202,4.970750"
605,Nuits-St-Georges,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.128202,4.970750/47.128202,4.970750"
606,NŒUX-LES-MINES,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/50.490197,2.684776/50.490197,2.684776"
606,NŒUX-LES-MINES,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/50.490197,2.684776/50.490197,2.684776"
607,OLIVET,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.841984,1.865230/47.841984,1.865230"
607,OLIVET,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.841984,1.865230/47.841984,1.865230"
608,Ollioules,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.125593,5.824707/43.125593,5.824707"
608,Ollioules,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.125593,5.824707/43.125593,5.824707"
609,Ondres,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.541565,-1.431747/43.541565,-1.431747"
609,Ondres,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.541565,-1.431747/43.541565,-1.431747"
610,ORANGE,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.129006,4.792255/44.129006,4.792255"
610,ORANGE,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.129006,4.792255/44.129006,4.792255"
611,Orange centre,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.128295,4.792583/44.128295,4.792583"
611,Orange centre,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.128295,4.792583/44.128295,4.792583"
612,Orange nord,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.180009,4.754069/44.180009,4.754069"
612,Orange nord,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.180009,4.754069/44.180009,4.754069"
613,Orange sud,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.109944,4.842889/44.109944,4.842889"
613,Orange sud,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.109944,4.842889/44.109944,4.842889"
614,Orbec,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.034403,0.443145/49.034403,0.443145"
614,Orbec,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.034403,0.443145/49.034403,0.443145"
615,ORBEC,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.033855,0.444498/49.033855,0.444498"
615,ORBEC,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.033855,0.444498/49.033855,0.444498"
616,ORLEANS-CENTRE,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.894725,1.853473/47.894725,1.853473"
616,ORLEANS-CENTRE,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.894725,1.853473/47.894725,1.853473"
617,Orléans nord,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.951475,1.849730/47.951475,1.849730"
617,Orléans nord,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.951475,1.849730/47.951475,1.849730"
618,ORMES,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.053831,4.286142/49.053831,4.286142"
