pair,gc_km,vot,fastest_min,fastest_km,fastest_eur,fastest_sections,fastest_unpriced,notoll_min,notoll_km,baseline,baseline_G,tree_min,tree_eur,tree_G,tree_alt,tree_kind,gain_vs_baseline_G,eur_saved_vs_fastest,min_added_vs_fastest,n_choices
Reims->Clermont-Ferrand,393.5,10.0,348.3,557.1,43.4,2,1,430.8,483.6,notoll,71.8,430.8,0.0,71.8,0,all_skip,0.0,43.4,82.5,0
Reims->Clermont-Ferrand,393.5,20.0,348.3,557.1,43.4,2,1,430.8,483.6,notoll,143.6,423.1,1.7,142.72,3,surgery,0.88,41.7,74.8,1
Reims->Clermont-Ferrand,393.5,40.0,348.3,557.1,43.4,2,1,430.8,483.6,fastest,275.6,423.1,1.7,283.75,3,surgery,-8.15,41.7,74.8,1
Montpellier->Bordeaux,380.3,5.0,307.2,486.2,40.2,1,0,455.1,488.2,notoll,37.92,455.1,0.0,37.92,0,all_skip,0.0,40.2,147.8,0
Montpellier->Bordeaux,380.3,10.0,307.2,486.2,40.2,1,0,455.1,488.2,notoll,75.84,455.1,0.0,75.84,0,all_skip,0.0,40.2,147.8,0
Montpellier->Bordeaux,380.3,20.0,307.2,486.2,40.2,1,0,455.1,488.2,fastest,142.61,307.2,40.2,142.61,0,asis,0.0,0.0,0.0,0
Montpellier->Bordeaux,380.3,40.0,307.2,486.2,40.2,1,0,455.1,488.2,fastest,245.03,307.2,40.2,245.03,0,asis,0.0,0.0,0.0,0
Chambery->Perigueux,408.0,5.0,351.7,528.9,51.4,1,0,535.3,544.8,notoll,44.61,535.3,0.0,44.61,0,all_skip,0.0,51.4,183.7,0
Chambery->Perigueux,408.0,10.0,351.7,528.9,51.4,1,0,535.3,544.8,notoll,89.22,535.3,0.0,89.22,0,all_skip,0.0,51.4,183.7,0
Chambery->Perigueux,408.0,20.0,351.7,528.9,51.4,1,0,535.3,544.8,fastest,168.62,351.7,51.4,168.62,0,asis,0.0,0.0,0.0,0
Chambery->Perigueux,408.0,40.0,351.7,528.9,51.4,1,0,535.3,544.8,fastest,285.84,351.7,51.4,285.84,0,asis,0.0,0.0,0.0,0
Chambery->Montauban,398.9,5.0,394.1,606.0,50.0,2,1,495.6,553.6,notoll,41.3,495.6,0.0,41.3,0,all_skip,0.0,50.0,101.5,0
Chambery->Montauban,398.9,10.0,394.1,606.0,50.0,2,1,495.6,553.6,notoll,82.61,495.6,0.0,82.61,0,all_skip,0.0,50.0,101.5,0
Chambery->Montauban,398.9,20.0,394.1,606.0,50.0,2,1,495.6,553.6,notoll,165.21,446.6,10.7,159.56,2,other_alt,5.66,39.3,52.4,0
Chambery->Montauban,398.9,40.0,394.1,606.0,50.0,2,1,495.6,553.6,fastest,312.76,446.6,10.7,308.42,2,other_alt,4.34,39.3,52.4,0
